Parent Compound	Preferred Name	SMILES	Non-generic Scaffold SMILES	Non-generic Scaffold ID	Generic Scaffold SMILES	Generic Scaffold ID	MESH Indications
CHEMBL1491	AMLODIPINE	CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl	C1=CC(c2ccccc2)C=CN1	SCAFFA9	C1CCC(C2CCCCC2)CC1	SCAFFB8	Hyperlipidemias
CHEMBL405	AMPHETAMINE	CC(N)Cc1ccccc1	c1ccccc1	SCAFFA3	C1CCCCC1	SCAFFB3	Narcolepsy
CHEMBL760	ANAGRELIDE	O=C1CN2Cc3c(ccc(Cl)c3Cl)N=C2N1	O=C1CN2Cc3ccccc3N=C2N1	SCAFFA10	C1CCC2CC3CCCC3CC2C1	SCAFFB9	Thrombosis
CHEMBL1399	ANASTROZOLE	CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1	c1ccc(Cn2cncn2)cc1	SCAFFA11	C1CCC(CC2CCCC2)CC1	SCAFFB10	Breast Neoplasms
CHEMBL231779	APIXABAN	COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1	O=C1CCCCN1c1ccc(N2CCc3cnn(-c4ccccc4)c3C2=O)cc1	SCAFFA12	C1CCC(C2CCC(C3CCC4CCC(C5CCCCC5)C4C3)CC2)CC1	SCAFFB11	Embolism
CHEMBL1471	APREPITANT	C[C@@H](O[C@H]1OCCN(Cc2n[nH]c(=O)[nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1	O=c1[nH]nc(CN2CCO[C@H](OCc3ccccc3)[C@@H]2c2ccccc2)[nH]1	SCAFFA13	C1CCC(CCC2CCCC(CC3CCCC3)C2C2CCCCC2)CC1	SCAFFB12	Postoperative Nausea and Vomiting
CHEMBL1112	ARIPIPRAZOLE	O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1	O=C1CCc2ccc(OCCCCN3CCN(c4ccccc4)CC3)cc2N1	SCAFFA14	C(CCC1CCC(C2CCCCC2)CC1)CCC1CCC2CCCCC2C1	SCAFFB13	Schizophrenia
CHEMBL25	ASPIRIN	CC(=O)Oc1ccccc1C(=O)O	c1ccccc1	SCAFFA3	C1CCCCC1	SCAFFB3	Migraine Disorders
CHEMBL24	ATENOLOL	CC(C)NCC(O)COc1ccc(CC(N)=O)cc1	c1ccccc1	SCAFFA3	C1CCCCC1	SCAFFB3	Coronary Artery Disease
CHEMBL641	ATOMOXETINE	CNCC[C@@H](Oc1ccccc1C)c1ccccc1	c1ccc(COc2ccccc2)cc1	SCAFFA15	C1CCC(CCC2CCCCC2)CC1	SCAFFB14	Attention Deficit Disorder with Hyperactivity
CHEMBL1487	ATORVASTATIN	CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O	O=C(Nc1ccccc1)c1c[nH]c(-c2ccccc2)c1-c1ccccc1	SCAFFA16	C1CCC(CCC2CCC(C3CCCCC3)C2C2CCCCC2)CC1	SCAFFB15	Hyperlipidemias
CHEMBL1289926	AXITINIB	CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1	C(=C/c1n[nH]c2cc(Sc3ccccc3)ccc12)\c1ccccn1	SCAFFA17	C1CCC(CC2CCC3C(CCC3CCC3CCCCC3)C2)CC1	SCAFFB16	Carcinoma, Renal Cell
CHEMBL325041	BORTEZOMIB	CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O	O=C(NCCc1ccccc1)c1cnccn1	SCAFFA18	C1CCC(CCCCC2CCCCC2)CC1	SCAFFB17	Lymphoma, Mantle-Cell
CHEMBL957	BOSENTAN	COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO	O=S(=O)(Nc1nc(-c2ncccn2)ncc1Oc1ccccc1)c1ccccc1	SCAFFA19	C1CCC(CCC2CC(C3CCCCC3)CCC2CC2CCCCC2)CC1	SCAFFB18	Familial Primary Pulmonary Hypertension
CHEMBL288441	BOSUTINIB	COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl	c1ccc(Nc2ccnc3cc(OCCCN4CCNCC4)ccc23)cc1	SCAFFA20	C1CCC(CCCCC2CCC3C(CC4CCCCC4)CCCC3C2)CC1	SCAFFB19	Leukemia, Myelogenous, Chronic, BCR-ABL Positive
CHEMBL1370	BUDESONIDE	CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1	O=C1C=CC2C(=C1)CC[C@@H]1[C@@H]2CCC2C3OCO[C@@H]3C[C@H]21	SCAFFA21	C1CCC2C(C1)CCC1C2CCC2C3CCCC3CC21	SCAFFB20	Asthma
CHEMBL1072	BUMETANIDE	CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1	c1ccc(Oc2ccccc2)cc1	SCAFFA22	C1CCC(CC2CCCCC2)CC1	SCAFFB21	Cardiovascular Diseases
CHEMBL1098	BUPIVACAINE	CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C	O=C(Nc1ccccc1)C1CCCCN1	SCAFFA23	C1CCC(CCC2CCCCC2)CC1	SCAFFB14	Hernia
CHEMBL511142	BUPRENORPHINE	CO[C@@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5	c1cc2c3c(c1)O[C@H]1C4CCC5(CC4)[C@@H](C2)N(CC2CC2)CC[C@]315	SCAFFA24	C1CC2CC3C(CC4CC4)CCC45C(CC(C1)C24)C1CCC35CC1	SCAFFB22	Drug Overdose
CHEMBL894	BUPROPION	CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1	c1ccccc1	SCAFFA3	C1CCCCC1	SCAFFB3	Seasonal Affective Disorder
CHEMBL1201748	CABAZITAXEL	CO[C@H]1C(=O)[C@]2(C)[C@@H](OC)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c3ccccc3)C(C)=C1C2(C)C	O=C(CCc1ccccc1)O[C@@H]1C=C2CC(=O)C3CC[C@H]4OCC4[C@H]3[C@H](OC(=O)c3ccccc3)C(C2)C1	SCAFFA25	C1CCC(CCCCC2CC3CCC4CCC5CCC5C4C(CCC4CCCCC4)C(C2)C3)CC1	SCAFFB23	Prostatic Neoplasms
CHEMBL846	CALCITRIOL	C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O	C=C1CCCC/C1=C/C=C1\CCCC2CCC[C@@H]12	SCAFFA26	C1CCC(CCC2CCCC3CCCC32)CC1	SCAFFB24	Psoriasis
CHEMBL1560	CAPTOPRIL	C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O	C1CCNC1	SCAFFA27	C1CCCC1	SCAFFB2	Ventricular Dysfunction, Left
CHEMBL108	CARBAMAZEPINE	NC(=O)N1c2ccccc2C=Cc2ccccc21	C1=Cc2ccccc2Nc2ccccc21	SCAFFA28	C1CCC2CC3CCCCC3CCC2C1	SCAFFB25	Bipolar Disorder
CHEMBL451887	CARFILZOMIB	CC(C)C[C@H](NC(=O)[C@H](CCc1ccccc1)NC(=O)CN1CCOCC1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)[C@@]1(C)CO1	O=C(CN1CCOCC1)N[C@@H](CCc1ccccc1)C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)NCC(=O)C1CO1	SCAFFA29	C1CCC(CCCC(CCCCCC(CCCCC2CC2)CC2CCCCC2)CCC2CCCCC2)CC1	SCAFFB26	Neoplasms
CHEMBL2028019	CARIPRAZINE	CN(C)C(=O)N[C@H]1CC[C@H](CCN2CCN(c3cccc(Cl)c3Cl)CC2)CC1	c1ccc(N2CCN(CCC3CCCCC3)CC2)cc1	SCAFFA30	C1CCC(CCC2CCC(C3CCCCC3)CC2)CC1	SCAFFB27	Schizophrenia
CHEMBL513	CARMUSTINE	O=NN(CCCl)C(=O)NCCCl		SCAFFA31		SCAFFB28	Ependymoma
CHEMBL723	CARVEDILOL	COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12	c1ccc(OCCNCCCOc2cccc3[nH]c4ccccc4c23)cc1	SCAFFA32	C(CCCCC1CCCC2CC3CCCCC3C12)CCCC1CCCCC1	SCAFFB29	Ventricular Dysfunction, Left
CHEMBL118	CELECOXIB	Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1	c1ccc(-c2ccnn2-c2ccccc2)cc1	SCAFFA33	C1CCC(C2CCCC2C2CCCCC2)CC1	SCAFFB30	Migraine Disorders
CHEMBL1000	CETIRIZINE	O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1	c1ccc(C(c2ccccc2)N2CCNCC2)cc1	SCAFFA34	C1CCC(C(C2CCCCC2)C2CCCCC2)CC1	SCAFFB31	Hypersensitivity
CHEMBL842	CHLOROTHIAZIDE	NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O	O=S1(=O)NC=Nc2ccccc21	SCAFFA35	C1CCC2CCCCC2C1	SCAFFB32	Glomerulonephritis
CHEMBL71	CHLORPROMAZINE	CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21	c1ccc2c(c1)Nc1ccccc1S2	SCAFFA36	C1CCC2CC3CCCCC3CC2C1	SCAFFB33	Porphyrias
CHEMBL1055	CHLORTHALIDONE	NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl	O=C1NC(c2ccccc2)c2ccccc21	SCAFFA37	C1CCC(C2CCC3CCCCC32)CC1	SCAFFB34	Glomerulonephritis
CHEMBL30	CIMETIDINE	CN/C(=N\CCSCc1nc[nH]c1C)NC#N	c1c[nH]cn1	SCAFFA38	C1CCCC1	SCAFFB2	Heartburn
CHEMBL549	CITALOPRAM	CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21	c1ccc(C2OCc3ccccc32)cc1	SCAFFA39	C1CCC(C2CCC3CCCCC32)CC1	SCAFFB34	Depressive Disorder
CHEMBL70418	CLOBAZAM	CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21	O=C1CC(=O)N(c2ccccc2)c2ccccc2N1	SCAFFA40	C1CCC(C2CCCCC3CCCCC32)CC1	SCAFFB35	Lennox Gastaut Syndrome
CHEMBL134	CLONIDINE	Clc1cccc(Cl)c1NC1=NCCN1	c1ccc(NC2=NCCN2)cc1	SCAFFA41	C1CCC(CC2CCCC2)CC1	SCAFFB10	Migraine Disorders
CHEMBL485	CODEINE	COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341	C1=C[C@H]2[C@H]3Cc4cccc5c4[C@@]2(CCN3)[C@H](C1)O5	SCAFFA42	C1CC2CC3CCCC45C(CCCC34)CC(C1)C25	SCAFFB36	Migraine Disorders
CHEMBL1650	CORTISONE ACETATE	CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3C(=O)C[C@@]21C	O=C1C=C2CC[C@H]3[C@@H]4CCCC4CC(=O)[C@@H]3C2CC1	SCAFFA43	C1CCC2C(C1)CCC1C3CCCC3CCC21	SCAFFB37	Adrenal Hyperplasia, Congenital
CHEMBL601719	CRIZOTINIB	C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl	c1ccc(COc2cncc(-c3cnn(C4CCNCC4)c3)c2)cc1	SCAFFA44	C1CCC(CCC2CCCC(C3CCC(C4CCCCC4)C3)C2)CC1	SCAFFB38	Lymphoma, Large B-Cell, Diffuse
CHEMBL803	CYTARABINE	Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1	O=c1ncccn1[C@H]1CCCO1	SCAFFA45	C1CCC(C2CCCC2)CC1	SCAFFB39	Meningeal Carcinomatosis
CHEMBL1172	DESLORATADINE	Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1	c1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1	SCAFFA46	C1CCC(C2C3CCCCC3CCC3CCCCC32)CC1	SCAFFB40	Hypersensitivity
CHEMBL1118	DESVENLAFAXINE	CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1	c1ccc(CC2CCCCC2)cc1	SCAFFA47	C1CCC(CC2CCCCC2)CC1	SCAFFB21	Depressive Disorder
CHEMBL384467	DEXAMETHASONE	C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO	O=C1C=CC2C(=C1)CC[C@@H]1C2CCC2CCC[C@H]21	SCAFFA48	C1CCC2C(C1)CCC1C3CCCC3CCC21	SCAFFB37	Sarcoidosis
CHEMBL612	DEXTROAMPHETAMINE	C[C@H](N)Cc1ccccc1	c1ccccc1	SCAFFA3	C1CCCCC1	SCAFFB3	Narcolepsy
CHEMBL139	DICLOFENAC	O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl	c1ccc(Nc2ccccc2)cc1	SCAFFA49	C1CCC(CC2CCCCC2)CC1	SCAFFB21	Migraine Disorders
CHEMBL92	DOCETAXEL	CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C	O=C(CCc1ccccc1)O[C@@H]1C=C2CC(=O)C3CC[C@H]4OCC4[C@H]3[C@H](OC(=O)c3ccccc3)C(C2)C1	SCAFFA25	C1CCC(CCCCC2CC3CCC4CCC5CCC5C4C(CCC4CCCCC4)C(C2)C3)CC1	SCAFFB23	Breast Neoplasms
CHEMBL1200969	DUTASTERIDE	C[C@]12C=CC(=O)N[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](C(=O)Nc3cc(C(F)(F)F)ccc3C(F)(F)F)CC[C@@H]12	O=C1C=CC2[C@H]3CCC4[C@@H](C(=O)Nc5ccccc5)CC[C@H]4[C@@H]3CC[C@H]2N1	SCAFFA50	C1CCC(CCC2CCC3C2CCC2C4CCCCC4CCC32)CC1	SCAFFB41	Prostatic Neoplasms
CHEMBL2159122	ELUXADOLINE	COc1ccc(CN(C(=O)[C@@H](N)Cc2c(C)cc(C(N)=O)cc2C)[C@@H](C)c2ncc(-c3ccccc3)[nH]2)cc1C(=O)O	O=C(CCc1ccccc1)N(Cc1ccccc1)Cc1ncc(-c2ccccc2)[nH]1	SCAFFA51	C1CCC(CCCC(CC2CCCCC2)CC2CCC(C3CCCCC3)C2)CC1	SCAFFB42	Irritable Bowel Syndrome
CHEMBL1082407	ENZALUTAMIDE	CNC(=O)c1ccc(N2C(=S)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)C2(C)C)cc1F	O=C1CN(c2ccccc2)C(=S)N1c1ccccc1	SCAFFA52	C1CCC(C2CCC(C3CCCCC3)C2)CC1	SCAFFB43	Prostatic Neoplasms
CHEMBL1095097	EPLERENONE	COC(=O)[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@@]23O[C@@H]2C[C@@]2(C)[C@@H](CC[C@@]24CCC(=O)O4)[C@H]13	O=C1C=C2CC[C@H]3[C@@H]4CC[C@@]5(CCC(=O)O5)C4C[C@H]4O[C@]43C2CC1	SCAFFA53	C1CCC2C(C1)CCC1C3CCC4(CCCC4)C3CC3CC321	SCAFFB44	Stroke
CHEMBL1683590	ERIBULIN	C=C1C[C@@H]2CC[C@@]34C[C@H]5O[C@H]6[C@@H](O3)[C@H]3O[C@H](CC[C@@H]3O[C@H]6[C@H]5O4)CC(=O)C[C@@H]3[C@@H](OC)[C@@H](C[C@H](O)CN)O[C@H]3C[C@H]3O[C@@H](CC[C@@H]1O2)C[C@@H](C)C3=C	C=C1C[C@@H]2CC[C@@]34C[C@H]5O[C@H]6[C@@H](O3)[C@H]3O[C@H](CC[C@@H]3O[C@H]6[C@H]5O4)CC(=O)C[C@@H]3CCO[C@H]3C[C@H]3O[C@H](CCC3=C)CC[C@@H]1O2	SCAFFA54	C1CC2CCC3CCC(CCC45CC6CC7C(CC8CCC(CCCC9CCCC9CC(C1)C2)CC8C7C4)C6C5)C3	SCAFFB45	Breast Neoplasms
CHEMBL553	ERLOTINIB	C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1	c1ccc(Nc2ncnc3ccccc23)cc1	SCAFFA55	C1CCC(CC2CCCC3CCCCC32)CC1	SCAFFB46	Neoplasms
CHEMBL1522	ESZOPICLONE	CN1CCN(C(=O)O[C@H]2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1	O=C(O[C@H]1c2nccnc2C(=O)N1c1ccccn1)N1CCNCC1	SCAFFA56	C1CCC(CCC2C3CCCCC3CC2C2CCCCC2)CC1	SCAFFB47	Sleep Initiation and Maintenance Disorders
CHEMBL696	ETHOSUXIMIDE	CCC1(C)CC(=O)NC1=O	O=C1CCC(=O)N1	SCAFFA57	C1CCCC1	SCAFFB2	Epilepsy
CHEMBL622	ETODOLAC	CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3	c1ccc2c3c([nH]c2c1)COCC3	SCAFFA58	C1CCC2C(C1)CC1CCCCC12	SCAFFB48	Osteoarthritis
CHEMBL1908360	EVEROLIMUS	CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OCCO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C	O=C1CCC=CCC(=O)C[C@@H](CCC2CCCCC2)OC(=O)[C@@H]2CCCCN2C(=O)C(=O)C2CCC[C@@H](CC/C=C/C=C/C=C/CCC1)O2	SCAFFA59	C1CCCCCCCCCCCC2CCCC(CCC3CCCCC3CCC(CCC3CCCCC3)CCCCCCC1)C2	SCAFFB49	Tuberous Sclerosis
CHEMBL1200374	EXEMESTANE	C=C1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@@]2(C)C=CC(=O)C=C12	C=C1C[C@@H]2[C@H](CCC3C(=O)CC[C@H]32)C2C=CC(=O)C=C12	SCAFFA60	C1CCC2C(C1)CCC1C3CCCC3CCC21	SCAFFB37	Breast Neoplasms
CHEMBL414357	EXENATIDE	CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](NC(=O)[C@H](C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCSC)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)CNC(=O)[C@@H](N)Cc1cnc[nH]1)[C@@H](C)O)[C@@H](C)O)C(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(N)=O)C(=O)NCC(=O)NCC(=O)N1CCC[C@H]1C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)NCC(=O)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N[C@@H](CO)C(N)=O	O=C(CCc1cnc[nH]1)NCC(=O)NCC(=O)NCC(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)NCC(=O)NCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)N1CCC[C@H]1C(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N1CCCC1	SCAFFA61	C(CCCCCCCCCCCCCCCCCCCCCCCC(CCCCCCCCCCCCCCCCC1CCCC1)CC1CCCCC1)CCCCCCCCCCCCCCCCCCCCCCCC(CCCCCCCCC(CCCCCCCCCCCCCCCCC1CCCC1CCCCCCCCCCCCCC1CCCC1CC1CCCC1CC1CCCC1)CC1CCC2CCCCC21)CC1CCCCC1	SCAFFB50	Diabetes Mellitus, Type 2
CHEMBL1138	EZETIMIBE	O=C1[C@H](CC[C@H](O)c2ccc(F)cc2)[C@@H](c2ccc(O)cc2)N1c1ccc(F)cc1	O=C1[C@H](CCCc2ccccc2)[C@@H](c2ccccc2)N1c1ccccc1	SCAFFA62	C1CCC(CCCC2CC(C3CCCCC3)C2C2CCCCC2)CC1	SCAFFB51	Hyperlipidemias
CHEMBL902	FAMOTIDINE	NC(N)=Nc1nc(CSCC/C(N)=N/S(N)(=O)=O)cs1	c1cscn1	SCAFFA63	C1CCCC1	SCAFFB2	Osteoarthritis
CHEMBL1164729	FEBUXOSTAT	Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O	c1ccc(-c2nccs2)cc1	SCAFFA64	C1CCC(C2CCCC2)CC1	SCAFFB39	Hyperuricemia
CHEMBL596	FENTANYL	CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1	c1ccc(CCN2CCC(Nc3ccccc3)CC2)cc1	SCAFFA65	C1CCC(CCC2CCC(CC3CCCCC3)CC2)CC1	SCAFFB52	Migraine Disorders
CHEMBL710	FINASTERIDE	CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C	O=C1C=CC2[C@H]3CCC4CCC[C@H]4[C@@H]3CC[C@H]2N1	SCAFFA66	C1CCC2C(C1)CCC1C3CCCC3CCC21	SCAFFB37	Alopecia
CHEMBL563	FLURBIPROFEN	CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1	c1ccc(-c2ccccc2)cc1	SCAFFA67	C1CCC(C2CCCCC2)CC1	SCAFFB8	Miosis
CHEMBL1201202	FONDAPARINUX	CO[C@H]1O[C@H](COS(=O)(=O)O)[C@@H](O[C@@H]2O[C@@H](C(=O)O)[C@@H](O[C@H]3O[C@H](COS(=O)(=O)O)[C@@H](O[C@@H]4O[C@H](C(=O)O)[C@@H](O[C@H]5O[C@H](COS(=O)(=O)O)[C@@H](O)[C@H](O)[C@H]5NS(=O)(=O)O)[C@H](O)[C@H]4O)[C@H](OS(=O)(=O)O)[C@H]3NS(=O)(=O)O)[C@H](O)[C@H]2OS(=O)(=O)O)[C@H](O)[C@H]1NS(=O)(=O)O	C1CC[C@@H](O[C@H]2CC[C@H](O[C@H]3CC[C@@H](O[C@H]4CC[C@H](O[C@H]5CCCOC5)OC4)OC3)OC2)OC1	SCAFFA68	C1CCC(CC2CCC(CC3CCC(CC4CCC(CC5CCCCC5)CC4)CC3)CC2)CC1	SCAFFB53	Thrombosis
CHEMBL1358	FULVESTRANT	C[C@]12CC[C@@H]3c4ccc(O)cc4C[C@@H](CCCCCCCCC[S+]([O-])CCCC(F)(F)C(F)(F)F)[C@H]3[C@@H]1CC[C@@H]2O	c1ccc2c(c1)CC[C@@H]1[C@@H]2CCC2CCC[C@H]21	SCAFFA69	C1CCC2C(C1)CCC1C3CCCC3CCC21	SCAFFB37	Breast Neoplasms
